species,flower_family,count
Unknown,apocynaceae,5
Unknown,asteraceae,15
Unknown,caprifoliaceae,4
Unknown,fabaceae,1
Unknown,hostacaeae,1
Unknown,hydrangeaceae,2
Unknown,lamiaceae,9
Unknown,onagraceae,1
Unknown,papaverceae,1
Unknown,rosaceae,1
Unknown,saxifragacaea,1
affinis,asteraceae,1
affinis,rosaceae,2
bimaculatus,acanthaceae,11
bimaculatus,amaryllidaceae,3
bimaculatus,apiaceae,2
bimaculatus,apocynaceae,9
bimaculatus,aquifoliaceae,1
bimaculatus,asteraceae,75
bimaculatus,boraginaceae,40
bimaculatus,brassicaceae,3
bimaculatus,buxaceae,1
bimaculatus,campanulaceae,1
bimaculatus,caprifoliaceae,16
bimaculatus,clethracea,1
bimaculatus,commelinaceae,2
bimaculatus,cucurbitaceae,1
bimaculatus,ericaceae,92
bimaculatus,fabaceae,99
bimaculatus,glabra,3
bimaculatus,hostacaeae,1
bimaculatus,hydrangeaceae,8
bimaculatus,hypericaceae,5
bimaculatus,iridaceae,2
bimaculatus,lamiaceae,236
bimaculatus,liliaceae,1
bimaculatus,lythraceae,1
bimaculatus,malvaceae,2
bimaculatus,onagraceae,1
bimaculatus,orobanchaceae,6
bimaculatus,papaverceae,4
bimaculatus,plantaginaceae,79
bimaculatus,pontederiaceae,8
bimaculatus,primulaceae,1
bimaculatus,ranunculaceae,3
bimaculatus,rhamnaceae,3
bimaculatus,rosaceae,52
bimaculatus,rubiaceae,10
bimaculatus,solanaceae,4
bimaculatus,styracaeae,1
bimaculatus,verbenaceae,6
borealis,apocynaceae,4
borealis,asteraceae,1
borealis,boraginaceae,2
borealis,fabaceae,6
borealis,lamiaceae,3
borealis,pontederiaceae,2
borealis,rosaceae,2
fervidus,acanthaceae,2
fervidus,apocynaceae,1
fervidus,asteraceae,37
fervidus,balsaminaceae,29
fervidus,boraginaceae,9
fervidus,brassicaceae,1
fervidus,campanulaceae,2
fervidus,fabaceae,79
fervidus,lamiaceae,27
fervidus,onagraceae,1
fervidus,papaverceae,3
fervidus,plantaginaceae,8
fervidus,rosaceae,1
griseocollis,acanthaceae,1
griseocollis,apiaceae,3
griseocollis,apocynaceae,118
griseocollis,asteraceae,163
griseocollis,boraginaceae,8
griseocollis,campanulaceae,1
griseocollis,caprifoliaceae,3
griseocollis,caryophyllaceae,1
griseocollis,ericaceae,9
griseocollis,fabaceae,83
griseocollis,hydrangeaceae,10
griseocollis,hypericaceae,1
griseocollis,inodorum,1
griseocollis,lamiaceae,104
griseocollis,lythraceae,2
griseocollis,malvaceae,1
griseocollis,papaverceae,1
griseocollis,plantaginaceae,10
griseocollis,polemoniacaea,1
griseocollis,pontederiaceae,7
griseocollis,raphanistrum,1
griseocollis,rosaceae,35
griseocollis,rubiaceae,2
griseocollis,verbenaceae,1
impatiens,acanthaceae,22
impatiens,acteae,3
impatiens,amaryllidaceae,14
impatiens,apiaceae,16
impatiens,apocynaceae,36
impatiens,aquifoliaceae,4
impatiens,asteraceae,875
impatiens,balsaminaceae,82
impatiens,boraginaceae,56
impatiens,brassicaceae,3
impatiens,campanulaceae,52
impatiens,caprifoliaceae,9
impatiens,clethracea,25
impatiens,commelinaceae,14
impatiens,convolvulaceae,3
impatiens,cornaceae,1
impatiens,crassulaceae,18
impatiens,cucurbitaceae,12
impatiens,elaeganceae,5
impatiens,ericaceae,65
impatiens,fabaceae,215
impatiens,glabra,6
impatiens,hostacaeae,6
impatiens,hydrangeaceae,34
impatiens,hypericaceae,43
impatiens,iridaceae,2
impatiens,lamiaceae,361
impatiens,liliaceae,2
impatiens,lythraceae,33
impatiens,malvaceae,21
impatiens,myrsinaceae,1
impatiens,myrtaceae,1
impatiens,nymphaeaceae,2
impatiens,onagraceae,13
impatiens,papaverceae,8
impatiens,phrymaceae,1
impatiens,phytolaccaceae,1
impatiens,plantaginaceae,73
impatiens,polemoniacaea,1
impatiens,polygonaceae,13
impatiens,pontederiaceae,31
impatiens,ranunculaceae,29
impatiens,raphanistrum,1
impatiens,rhamnaceae,3
impatiens,rosaceae,166
impatiens,rubiaceae,11
impatiens,scrophulariaceae,3
impatiens,solanaceae,44
impatiens,styracaeae,1
impatiens,verbenaceae,16
pensylvanicus,asteraceae,3
pensylvanicus,lamiaceae,1
pensylvanicus,ranunculaceae,1
perplexus,acanthaceae,3
perplexus,apiaceae,1
perplexus,apocynaceae,27
perplexus,aquifoliaceae,3
perplexus,asteraceae,21
perplexus,boraginaceae,15
perplexus,caprifoliaceae,7
perplexus,elaeganceae,1
perplexus,ericaceae,38
perplexus,fabaceae,10
perplexus,glabra,1
perplexus,grossulariaceae,1
perplexus,hostacaeae,2
perplexus,hypericaceae,6
perplexus,lamiaceae,52
perplexus,onagraceae,1
perplexus,papaverceae,1
perplexus,plantaginaceae,5
perplexus,pontederiaceae,1
perplexus,ranunculaceae,1
perplexus,rosaceae,27
perplexus,rubiaceae,1
perplexus,salicaceae,1
perplexus,verbenaceae,1
ternarius,amaryllidaceae,1
ternarius,apocynaceae,4
ternarius,asteraceae,32
